編號,案類,發生日期,發生時段,發生地點
231,機車竊盜,1080120,14~16,臺北市大同區歸綏街211~240號
232,機車竊盜,1080121,20~22,臺北市萬華區西寧南路1~30號
233,機車竊盜,1080127,04~06,臺北市大同區長安西路78巷4弄1~30號
234,機車竊盜,1080201,16~18,臺北市信義區興雅里忠孝東路5段151~180號
235,機車竊盜,1080206,20~22,臺北市信義區三犁里信義路5段151巷151~180號
236,機車竊盜,1080209,14~16,臺北市萬華區三水街61~90號
237,機車竊盜,1080212,02~04,臺北市萬華區康定路287巷31~60號
238,機車竊盜,1080213,12~14,臺北市北投區一德里立德路1~30號
239,機車竊盜,1080215,10~12,臺北市文山區萬芳里010鄰萬安街21巷1~30號
240,機車竊盜,1080218,02~04,臺北市北投區吉利里致遠二路95巷31~60號
241,機車竊盜,1080224,20~22,臺北市北投區立賢里尊賢街243巷1~30號
242,機車竊盜,1080228,18~20,臺北市內湖區南京東路6段451~480號
243,機車竊盜,1080304,10~12,臺北市北投區建民里文林北路31~60號
244,機車竊盜,1080306,00~02,臺北市北投區東華里東華街2段174巷1~30號
245,機車竊盜,1080306,12~14,臺北市萬華區東園街181~210號
246,機車竊盜,1080310,20~22,臺北市北投區永明里石牌路2段99巷31~60號
247,機車竊盜,1080323,02~04,臺北市萬華區桂林路151~180號
248,機車竊盜,1080323,18~20,臺北市萬華區艋舺大道275巷1~30號
249,機車竊盜,1080324,18~20,臺北市中正區東門里信義路1段1~30號
250,機車竊盜,1080325,08~10,臺北市萬華區環河南路3段241~270號
251,機車竊盜,1080325,20~22,臺北市北投區中央南路2段61~90號
252,機車竊盜,1080326,10~12,臺北市北投區尊賢里尊賢街264巷1~30號
253,機車竊盜,1080331,06~08,臺北市中山區林森北路85巷口
254,機車竊盜,1080403,08~10,臺北市內湖區文湖街1~30號
255,機車竊盜,1080405,22~24,臺北市中正區中山北路(忠孝東路東北角)
256,機車竊盜,1080406,00~02,臺北市萬華區西昌街181~210號
257,機車竊盜,1080410,02~04,臺北市松山區民族東路631~660號
258,機車竊盜,1080410,08~10,臺北市士林區東山里德行東路331巷54弄1~30號
259,機車竊盜,1080412,10~12,臺北市信義區松山路151~180號
